# trees_n,samples_min,depth_max Batch,opt_f1_score
5.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,8.378661087866109414e-01
5.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00,7.848837209302326201e-01
5.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+01,7.520000000000000018e-01
5.000000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+01,7.495338719701677421e-01
5.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,7.481296758104738487e-01
5.000000000000000000e+00,2.000000000000000000e+01,2.500000000000000000e+01,7.481296758104738487e-01
5.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,8.378661087866109414e-01
5.000000000000000000e+00,3.000000000000000000e+01,5.000000000000000000e+00,8.018171493469620215e-01
5.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+01,7.950530035335690027e-01
5.000000000000000000e+00,3.000000000000000000e+01,1.500000000000000000e+01,7.897862232779098157e-01
5.000000000000000000e+00,3.000000000000000000e+01,2.000000000000000000e+01,7.861822513400833490e-01
5.000000000000000000e+00,3.000000000000000000e+01,2.500000000000000000e+01,7.861822513400833490e-01
5.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00,8.378661087866109414e-01
5.000000000000000000e+00,4.000000000000000000e+01,5.000000000000000000e+00,8.043230944254835535e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.000000000000000000e+01,7.969572849619659394e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.500000000000000000e+01,7.948265726043503010e-01
5.000000000000000000e+00,4.000000000000000000e+01,2.000000000000000000e+01,7.919858573954036141e-01
5.000000000000000000e+00,4.000000000000000000e+01,2.500000000000000000e+01,7.919858573954036141e-01
6.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.378661087866109414e-01
6.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,7.657992565055761203e-01
6.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,6.707566462167688925e-01
6.000000000000000000e+00,1.000000000000000000e+01,1.500000000000000000e+01,6.328400281888654222e-01
6.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,6.318021201413426269e-01
6.000000000000000000e+00,1.000000000000000000e+01,2.500000000000000000e+01,6.318021201413426269e-01
6.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,8.372579801151229795e-01
6.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00,7.326984126984125156e-01
6.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+01,6.323218066337332743e-01
6.000000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+01,6.028985507246376052e-01
6.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,6.013071895424836333e-01
6.000000000000000000e+00,2.000000000000000000e+01,2.500000000000000000e+01,6.013071895424836333e-01
6.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,8.372579801151229795e-01
6.000000000000000000e+00,3.000000000000000000e+01,5.000000000000000000e+00,7.329113924050633111e-01
6.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+01,6.578764746703678057e-01
6.000000000000000000e+00,3.000000000000000000e+01,1.500000000000000000e+01,6.251788268955651429e-01
6.000000000000000000e+00,3.000000000000000000e+01,2.000000000000000000e+01,6.266952177016417158e-01
6.000000000000000000e+00,3.000000000000000000e+01,2.500000000000000000e+01,6.266952177016417158e-01
6.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00,8.372579801151229795e-01
6.000000000000000000e+00,4.000000000000000000e+01,5.000000000000000000e+00,7.329113924050633111e-01
6.000000000000000000e+00,4.000000000000000000e+01,1.000000000000000000e+01,6.931596091205211030e-01
