element_count
O:8 Pt:6
Ga:4 Ir:4 Y:4
S:12 Y:8
Hf:4 Pt:12
Al:36 Mg:6 Mn:4
In:1 P:1 Pt:5
C:1 Zr:1
Ir:1 N:1
Co:4 Sn:4 Tb:4
Cd:6 Ho:2
Zr:2
C:6 Si:6
Na:1 O:3 W:1
C:2 Cu:1 Rb:1
Co:4 Sb:12
La:1 Te:1
Li:2 Pd:1 Sb:1
Ge:4 Rh:8
Ge:4 Pt:4 Y:4
Ru:4 Si:4 Ti:4
F:14 Sr:4 Zn:3
B:2 Ge:6 Ta:10
Te:2 V:2
Al:1 Ba:1 Si:1
In:3 Zr:1
Ru:8 Sc:4
Al:6 Hf:2
Mg:4 Se:8
Cu:4 In:1 Tb:1
Gd:2 O:8 V:2
As:1 U:1
B:4 Mo:4 Nb:2
Al:1 N:1
Au:2 Ge:2 Tb:2
Al:1 Cr:1 Cu:2
La:1 Pt:5
Li:2 Ru:2 Sn:8
Dy:2 Tl:2 Zn:2
As:2 Hg:2 K:2
Hg:1 Li:1
O:3 Rb:1 U:1
Al:14 Th:4
Al:1 Ru:1
Pt:3 V:1
Mn:4 Te:8 Zn:2
Rh:4 Sb:8
Rh:4 Si:4
Ge:4 La:2 Rh:2
Na:2 Pt:4
Cl:4 K:2 Pd:1
Ce:4 In:2 Pt:4
Ba:1 Ge:3 Pt:1
Ga:2 Y:2
Cd:4 Dy:16 Rh:4
Ba:1 O:3 Ti:1
Br:6 K:2 Re:1
Dy:2 In:2 Zn:2
Cd:3 I:6
Co:1 Nb:1 Sb:1
Ru:8 Sn:12
Li:40 Pb:12
Al:4 Ba:1
B:2 Zr:1
Al:1 Au:2
As:16 Mg:24
Ir:1 Mn:1 Sb:1
Ga:3 Hf:3 Rh:3
B:2 Hf:1
Ba:6 Pb:10
Ho:6 Tl:10
As:1 Cd:1 Pt:5
P:12 Ru:4
Ge:4 N:8 Si:2
C:1 Ni:3 Zn:1
Al:4 Ni:2 Y:2
Os:4 Te:8
Ba:1 O:4 S:1
Ca:6 Ge:26 Ir:8
Pd:4 Sn:4 Y:4
O:4 Os:2
Ca:1 Pd:1
Ir:4 Nb:4 Si:4
Si:4 Zr:2
Na:6 O:9 S:2
Ir:1 Si:3 Y:1
S:1 Tb:1
Al:2 Pd:5 U:1
Au:4 Bi:2
C:4 Cr:2 Sc:2
Pd:6 Si:3
Co:2 Zr:4
Au:2 Er:2 Sn:2
O:4 S:4 Zr:4
Pa:2 Sb:4
Te:4 Y:2
Pt:4 Si:4 Th:2
Rh:3 Th:1
Dy:4
Ce:2 O:4
C:1 Ho:1 Rh:3
Be:6 P:4
Os:1 Ti:1
In:3 Pt:3 Th:3
Be:26 Hf:2
Mg:2 O:2
C:2 Sn:2 Ti:4
Mo:6 Sb:14
Ir:3 Ta:1
Ir:8 Sn:26 Yb:6
Au:8 In:8 Sr:4
Au:4 Sb:8
Al:1 Os:1
Ba:2 Cd:1
Nb:4 Pd:4 Si:4
Ni:2 Sn:1 Ti:1
Cs:1
Co:4 Dy:4 Ge:4
Au:1 In:2
He:8 Ne:4
Ir:1 Si:3 U:1
Ge:8
Ca:1 Ga:2
As:2 Au:2 Ca:2
B:2 Co:2 Y:1
Nb:6 Os:2
F:5 U:1
Mg:1 Tb:1
Co:2 Ga:1 Mn:1
Ba:2 Te:6
Br:6 Ca:2 In:2
C:60 Sr:6
Al:4 Yb:2
Er:4 Ga:4 Pd:4
Bi:10 La:6 Sc:2
Ba:1 O:3 Sn:1
Mn:4 Ni:4 Si:4
Nb:3 Re:3 Si:3
La:1 Tl:1
Au:4 Ho:8
Be:1 Rh:1
B:4 N:4
O:8 Si:2 Zn:4
Au:1 Yb:1
Ni:4 P:4 S:4
N:8 O:4
Fe:1 Ga:1 Ni:2
As:8 Th:4
Ho:16 O:24
Au:1 In:1 Li:2
Ca:4 Ge:4 Mg:4
Au:4 Ca:4 In:4
Er:1 Pd:1
Na:2 Nb:2 O:6
Pd:2 Sb:2
B:12 H:12 Tl:2
Ge:4 Hf:4 Pt:4
Si:6 V:3
La:2 Rh:4
Pd:2 Sc:1 Sn:1
Mg:1 Ni:2 Sb:1
Cs:1 F:3 Pb:1
Cu:2 Zn:1 Zr:1
O:12 Rh:4 Tb:4
Na:4 S:4
Ti:1 Zn:3
Pb:1 S:1
C:1 Ru:3 Th:1
B:2 Mn:1
Cu:2 Er:2 Si:2
Br:2 In:10 Se:10
C:1 Si:1
In:4 Ir:4 Tb:16
As:2 Ba:1 Ru:2
Cd:33 Na:6
Au:1 Pb:1 Y:1
Ag:2 Ge:1 Li:1
Ir:3 V:1
Hf:4 P:4 V:4
Cl:6 K:2 Re:1
Sn:4 Tb:2
Ir:1 Sn:2
N:1 Ta:1
Br:4 K:2 Pd:1
Ge:8 W:4
Co:4 Ge:4 Mn:4
Ir:8 Sc:22
Ag:2 Bi:2 K:4
Cu:2 Dy:1 In:1
Al:1 Li:2 Pt:1
Dy:1 Zn:1
Ba:2 Pd:2
C:2 In:2 Nb:4
C:4 Co:2 Sc:2
Al:12 Tc:2
Bi:8 Ir:4
Al:2 Au:1
Ir:4 Sb:12
Cd:1 Pd:1
Ni:2 Tl:2
Cu:1 Ti:2
C:1 Y:1
Rh:4 Sb:12
In:1 Ni:2 Sc:1
Ba:1 O:3 Pb:1
Mg:2 Pb:1
Li:1 Tl:1
In:1 Pt:4 Tb:1
Ag:2 O:4 Sc:2
O:1 Pb:1 Yb:3
Ba:2 O:2
Ge:4 La:4
Cd:1 Cl:8 Na:6
Ge:4 Rh:4 Ta:4
Os:4 S:8
B:1 Be:2
Rh:3 Sn:3 Th:3
La:1 Rh:2 Si:2
Se:4 Tl:4
Co:2 Te:4
Ca:2 Pd:4
Ho:3 In:3 Pd:3
Au:16 Zr:4
La:1 Rh:1 Si:3
Pd:2 Si:2 Yb:1
Bi:8 Cu:8 Mn:6
Pt:4 Sc:2 Si:2
Cd:1 Se:1
Pd:4 Sb:4 Sr:2
Ga:4 Pd:4
N:1 V:1
Gd:1 O:1
Na:2 Nb:2 S:4
Ni:2 Sn:1 Zr:1
Fe:4 Hf:4 P:4
P:12 Tc:8
Be:26 Ce:2
Au:1 C:2 K:1
Cu:2 O:2
Si:6 Sr:10
In:1 Pd:3
K:5 Sb:4
C:1 Rh:3 Y:1
C:4 Mo:16 Ni:8
In:1 Mg:3
Be:1 Pd:1
Au:1 Mg:1
Co:4 Sb:12
Pt:1 Ti:1
Fe:4 P:4 Zr:4
As:1 Zr:1
Th:1 Zn:4
Se:1 Tb:1
Nb:2 S:2
Pd:2 Ta:1
N:4 Re:2
Ge:2 P:4 Zn:2
Er:10 Ge:6
Sn:1 Te:1
Dy:1 Ru:2 Si:2
B:2 Ce:1 Ir:3
Ag:1 Au:1 Zn:2
Ba:1 P:2 Rh:2
P:2 Sn:6 Zr:10
Cl:1 Rb:1
Ba:1 Pt:1 Sn:3
Bi:4 Rb:12 Se:12
Hf:1 Ru:3
Dy:2 Ga:2 Zn:2
Ag:36 In:16
P:2 Ru:2 Y:1
Ho:4 O:14 Sn:4
Fe:2 Ga:1 V:1
C:2 Ga:2 Ta:4
C:6 Ir:10
Ce:4 Os:8
Al:1 Li:2 Pd:1
C:1 Mn:3 Sn:1
Rh:4 S:8
C:1 Pt:1
C:6 N:8
Mg:4 O:8 Sn:2
Au:1 C:2 Li:1
Ag:2 Bi:2 Yb:2
B:16 C:8 Sc:8
Pt:2 U:2
Fe:4 Nb:4 P:4
Ni:4 Si:4
Co:2 Ga:1 Ti:1
Bi:6 Tb:8
In:1 Ni:1
Hg:1 Sr:1
F:3 La:1
S:4 Zn:4
Bi:4 O:14 Sn:4
Ce:4 Os:8
Ni:1 Sb:1 Tb:1
La:3 Sn:1
B:2 F:10 Li:4
Cr:4 O:12 Te:2
Br:2 Cu:2
La:10 O:3 Si:8
Ca:4 O:12 Rh:4
Cu:2 Zr:2
Au:1 Er:1 Ni:4
Ba:4 P:4 Pt:4
As:4 Nb:4 Ni:4
Si:2 Y:2
B:4 Sc:2
Dy:3 In:3 Ir:3
Li:84 Si:20
O:24 Se:8 Sn:4
Ga:2 O:12 Y:6
Cu:3 Te:4 V:1
Ba:1 Pd:1 Sn:3
Au:1 C:2 Rb:1
Be:2 N:4 Si:2
Al:1 Tb:1
B:1 Hf:1
B:8 W:4
Cd:2 Ge:2 Sr:1
S:2 Zn:2
Er:1 In:3
Hf:2 W:4
Br:9 Rb:3 Sb:2
C:4 Nb:8
As:1 Ho:1
Ge:2 Ho:2 Sn:2
Pt:2 W:1
Ce:1 Te:1
Mg:4 Pt:2
B:6 Os:4
Au:1 Dy:1 Pb:1
H:1 Rh:1
Fe:8 W:4
Mo:1 Zn:7
Sn:3 Y:1
As:4 O:12 Sr:2
Ca:3 Cd:3 Sn:3
Au:24 Ge:8 Na:8
Ho:1 Ru:2 Si:2
Au:3 Cu:1
O:8 Si:2 Zr:2
Ir:1 V:1
C:2 O:4
Ba:1 Mg:2 Si:2
Cd:1 Cu:4 Er:1
Ag:2 Y:1
As:4 K:12 Se:12
Au:4 Yb:4
B:2 Ta:2
C:4 Ir:2
As:2 Sr:4
C:2 In:2 Zr:4
Ru:1 Sb:1 Zr:1
Ba:1 Ge:3 Ir:1
In:4 S:10 Zn:4
Ba:2 H:2 I:2
Ho:1 Te:1
Au:2 Sn:2 Tb:2
N:4 W:3
N:3 Tc:3
Ge:2 Ho:1 Pd:2
Au:2 In:1 Th:1
F:3 Sc:1
Pt:4 Sc:4 Si:4
Dy:1 Ga:3
Ir:2 N:2
B:1 Rh:3 Zr:1
Pb:2 Sr:2 Zn:2
Ca:2 O:2
Al:2 Ge:2 Y:2
In:1 P:1
Pr:1 Tl:3
Ag:2 Zr:2
Be:26 Lu:2
Al:2 N:6 Ta:8
Cs:2 O:12 Te:4
Al:2 Dy:2 Zn:2
As:1 F:6 Na:1
Cs:2 Cu:2 O:4
Ge:4 Rh:4 Tb:4
O:12 Se:4 Sr:4
Cd:2 Sc:4 Se:8
Er:3 Rh:3 Sn:3
Cd:1 Dy:1 Ni:4
Hg:1 Te:1
Tl:3 Yb:1
Ca:1 Rh:2 Si:2
C:4 Si:4
Sb:6 Zr:6
Cl:2 F:2 Yb:2
Ho:2 Pt:4
Ni:12 P:7 Yb:2
Pt:2 Zr:2
Ba:1 Hg:1
Ge:2 Mg:2 O:6
N:3 Re:3
Er:4 In:2
La:4 O:4 Se:3
Cs:2 I:6 Pd:1
Co:1 Si:2
Cd:2 Ho:4 S:8
V:4 Zr:2
Gd:8 S:12
C:60 K:6
Cl:2 Mg:1
Er:10 Sb:6
O:6 Pt:3 Zn:1
Er:3 In:3 Pt:3
C:2 Si:2
Ni:6 Ta:2
Ge:6 Ir:7 Yb:4
Ca:2 Zn:26
Cu:18 Ga:15 Mg:6
S:12 Sn:2 Ta:6
Si:4 Ti:4
B:2 Pt:2
O:10 Ti:6
Cd:24 P:16
B:1 Rh:3 Sc:1
O:4 W:2
N:4 Se:2 Zr:4
Cr:4 Cu:2 Se:8
O:3 Sr:1 Ti:1
Dy:1 Ge:2 Ru:2
Pt:8 V:1
In:4 Mg:2 S:8
F:12 Li:2 V:4
Ag:1 Cd:1
Ir:6 Si:2
Ru:4 Sn:6 Y:1
K:4 O:6 Pb:4
Dy:3 Rh:3 Sn:3
Ho:2 Si:2
In:16 O:24
Cd:4 Sb:4 Tl:4
Mg:2 Pd:4 Tb:4
Ir:1 Sc:1
Hg:3 La:3 Pd:3
Pd:8 Se:2
Bi:4 K:12 Te:12
B:2 Cr:1
Ge:3 O:9 Sr:3
Au:1 Ho:1 Sn:1
Ge:4 La:2 Pd:2
Gd:4 O:14 Sn:4
Er:3 P:6 Pd:20
Ag:4 As:4 S:4
Ir:4 P:4 Se:4
Mo:2 Ni:2 P:4
C:4 Ni:8 W:16
H:30 Th:8
Bi:4 Ga:4 O:12
B:6 Tb:1
Ge:4 Ir:4 Y:4
Au:2 Ca:1 Si:2
Cu:2 F:6 K:2
Ge:4 Ho:4 Ir:4
Hf:4 Ni:4 Si:4
Hf:2 La:6 Sb:10
Re:3 Si:3 Ti:3
Ce:2
C:1 Ca:1 Pd:3
Li:1 Pd:2 Tl:1
Cu:4 Ho:4 In:2
Dy:4 Si:4
Rh:3 Ta:1
N:12 Rh:4
Re:8 Sc:4
O:2 Th:1
Ag:2 Cl:2
As:1 Mg:1 Pt:5
As:2 O:8 Tb:2
Yb:1
Ag:4 Al:4 O:8
Dy:12 Rh:4
La:8 S:12
Ni:1 Si:3 Sr:1
Er:2 Ge:2
Ag:3 Ge:3 Tb:3
C:21 Si:21
As:12 Co:4
Rh:1 Sc:1
Ba:6 C:60
B:14 Mn:2 Y:6
Cd:1 Cu:1 Sb:1
Al:2 B:2 Ru:3
Cu:2 Ga:2 Te:4
B:1 Tc:1
B:2 Sc:1
B:1 Pb:1 Sc:3
Dy:3 In:1 N:1
Au:2 In:1 Ti:1
As:2 C:2 V:6
Ce:4 O:28 P:8
Hg:4 Pt:1
Cu:2 Si:2 Y:2
Rb:4 Te:2
C:1 Ir:1
Cu:2 Dy:2 Pb:2
Co:3 Hf:3 Sn:3
C:2 Ho:1
In:1 P:1
Cu:1 Mg:1 Sb:1
Ru:2 Sb:4
As:4 Na:12 S:12
Dy:1 In:1 Pt:4
As:4 Ge:2 Zn:2
Fe:1 O:3 Sr:1
Cs:1 K:2 Sb:1
Er:16 O:24
Nb:2 Pt:6
Au:8 Er:8 Sn:4
Si:2
Bi:1 Tb:1
Ga:3 Pt:2
Th:1 Tl:3
Ir:2 Pb:2
B:8 Ir:4 Mo:8
Ge:6 Ir:7 Sc:4
Ir:2 Sn:8
Ca:24 N:16
Ni:3 Pd:3 Si:3
Te:1 Zn:1
F:3 K:1 Ni:1
Al:2 H:8 Na:2
C:14 Si:14
Hg:1 Y:1
Er:1 Rh:1
Al:2 Li:1 Pt:1
Ho:1 Rh:3 Si:2
Ag:2 Er:2 S:4
N:4 Nb:16 Ni:8
La:1 Ru:2 Si:2
Sb:1 Th:1
Ba:1 Se:1
In:3 Tb:1
Mg:4 Pt:2 Si:2
Bi:8 Th:6
Al:8 Sb:8
Ge:6 Lu:4 Ru:7
Bi:4 Pt:4 Se:4
Co:4 O:14 Sb:4
Si:4
Nb:1 Ru:1 Sb:1
Ge:6 Ho:4 Ir:7
Br:1 Li:1
Ag:2 Br:2
Ho:4 Ir:4 Si:4
Mo:4 Si:4 Zr:4
Ag:2 Ba:1 Sn:2
Cd:2 N:2
Nb:1 O:3 Sr:1
B:3 Pt:6 Y:3
C:2 Cr:4 Ga:2
Nd:1 Pd:3
Be:1 Se:1
Dy:4 Hf:4 O:14
Al:1 La:3 N:1
B:8 Dy:2 Rh:8
Ag:3 As:3 Ca:3
As:3 Cr:3 Ni:3
Bi:2 Pt:2
Ga:1 Li:1 Si:1
In:2 Li:2 O:4
B:8 Dy:4 Os:4
Ag:4 Sr:2
Ir:4 Th:2
Rh:4 Sb:12
F:4 Pd:2
Ni:1 Sc:1
Ag:1 Ho:1
As:4 Ge:3
Lu:4 Mg:2 S:8
Hf:4 Pt:4 Si:4
Ag:2 Er:1 In:1
Cu:4 In:1 Sc:1
C:2 Ge:2 V:4
C:1 Cd:1
Ca:6 Cr:2 N:6
Os:4 P:4 Zr:4
Ag:8 Sr:8
Ge:4 Hf:4 Ir:4
O:1 V:1
Mg:1 O:1
K:6 Se:6
Ga:2 Pt:1
Cl:3 Mn:1 Tl:1
Ba:1 Li:1 Si:1
Sb:8 Tb:4
C:2 La:1
La:2 Sn:4
Al:1 Tc:2
In:2 Na:10 O:8
Li:8 Mg:4 Si:4
B:1 Ho:1 Rh:3
N:1 Na:3
Al:2 Co:1 Zr:6
Ge:26 Rh:8 Y:6
N:8 Si:6
Hg:1 P:1 Pt:5
C:1 Sc:3 Tl:1
Cu:2 Ho:2 Sn:2
Ba:6 P:8
Li:2 S:1
Al:4 Cd:2 Se:8
Pt:4 Sb:4 Se:4
Sb:1 Tb:1
B:6 H:24 Y:2
Pd:3 Sn:1
Er:1 Ni:2 Si:2
In:2 S:4 Tl:2
Ru:8 Si:12
Al:3 Nb:1
O:28 P:8 Si:4
Al:1 Ti:1
Co:4 P:12
Al:6 C:8 Zr:4
Au:2 Sn:2 Y:2
Ge:12 Ir:8 S:12
Pd:4 Sb:4 Se:4
S:4 W:2
Co:4 P:12
Al:8 C:4 Nb:12
Ni:2 O:2 Zr:6
As:2 La:1 Ni:2
Al:1 F:3
Rh:2 Si:2 Th:1
Bi:4 In:4 O:12
N:2 Re:2
Pd:3 Pu:1
Ca:2 Si:4
Na:4 Ni:2 O:4
Te:2 Zr:2
Bi:2 Co:1 Hf:6
Ho:2 Mg:2 Sn:2
P:2 V:2
Ge:2
Cu:2 Sb:2 Yb:2
Nb:1 Rh:1 Sb:1
O:24 Tb:16
Si:4 Th:6
Ga:1 P:1 Pt:5
Au:1 Pb:1 Tb:1
Cu:2 In:1 Ti:1
Ho:1 Ir:2 Si:2
Mn:4 Si:4 Tb:4
La:3 Pd:3 Tl:3
B:8 Th:2 W:2
B:4 H:16 Hf:1
Au:1 Li:2 Tl:1
In:1 N:1
Pd:6 Tl:2
H:2 Ti:2
Er:1 Hg:1
H:2 V:1
Mn:1
Rh:4 Sb:4 Se:4
Ca:1 O:3 Zr:1
I:2 La:10 Sn:6
La:1 Tl:3
Ga:6 Hf:6 Pt:6
Cu:6 Se:4
Co:3 Ge:3 Ti:3
Ge:4 La:2 Pt:4
Ru:2 Si:2 Y:1
Ir:4 Sc:2
Si:2 Zr:2
Ge:3 Pu:1
Ca:24 N:16
Ge:8 Y:6
Pt:2 V:6
Gd:1 Mg:1
Ca:1 H:3 Rb:1
Ti:1 Y:1
Al:2 H:8 Th:4
C:1 Ge:1
Cs:3 I:9 Sb:2
Al:8 Mo:3
Bi:1
Ba:1 O:3 Pb:1
Mo:6 Si:2
Hf:4 Rh:4 Si:4
Ga:1 Li:2 Pd:1
Se:4 Ta:2
Pb:2 Th:2
Ge:3 Os:3 Sc:3
Cd:4 Nb:4 O:14
B:1 La:1 Rh:3
Cs:2 Cu:2 F:8
Cl:1 K:1
Hg:1 Ho:1
Pt:4 Sr:2
F:3 K:1 Mg:1
Al:16 Pd:7 Zr:6
Mn:1 Pt:1
Cd:4 O:8 Sn:2
B:8 W:4
Na:4 O:12 Sb:4
F:4 Si:1
Ba:1 Pt:1 Sb:1
Co:2 Se:2 Tl:1
Ca:1 Tl:3
S:4 Y:2
C:8 Dy:8 Re:4
Cr:1 Rh:3
Cu:4 Ge:4 Zr:4
Au:3 Cd:3 La:3
Be:26 Zr:2
Cl:10 Cs:2 Pb:4
Ge:4 Mn:4 Yb:4
Ho:1 Pt:3
La:2 Pd:2
C:8
Al:4 Sr:2
Ir:4 Lu:2
Co:1 Sb:1 Ta:1
Er:2 H:2
Ca:2 Sn:2 Zn:2
Co:2 Si:1 Ti:1
Dy:2 Si:2
C:1 Hf:1
Sc:2 Si:2
Cl:1 Cs:1
Ge:4 N:8 Sr:8
Ce:1 Se:1
Ho:1 Pt:1 Sb:1
In:2 Sc:6
Rh:3 Ti:1
Fe:2 In:1 Ti:1
Hg:2 La:1
O:8 Sn:4
Ho:5 S:7
Ca:4 Mg:8
Dy:4 Rh:6 Sn:10
Ge:4 Rh:4 Tb:4
Pd:4 Sn:4
Cu:4 Ge:4 Hf:4
In:2 Li:2 Te:4
In:2 Th:4
S:1 Yb:1
Nb:6 Sb:2
Cl:6 Rb:2 Te:1
Ge:4 La:1 Rh:6
Hf:10 Sn:6
Cu:4 Sb:2
Hf:1 N:1
Ga:1 La:3
Ba:1 Ga:2
In:1 P:1 Pd:5
Cl:6 Te:1 Tl:2
Er:4 Pt:4 Si:4
O:1 U:1
As:1 B:2 P:1
Ge:4 Ir:4 Sc:4
Bi:1 In:1
Hf:4 Ho:4 O:14
Mg:1 Te:1
Mn:2 Nb:6 S:12
Mn:2 Si:2 Tb:1
Ni:1 Sb:1 Zn:1
Bi:1 N:1 Sr:3
Rh:6 Th:14
Pt:3 Yb:1
Ba:2 Cd:2 Ge:2
Pb:2 Se:4
As:1 Y:1
Mn:2 N:6 Sr:6
F:8 Pd:4
Pt:2 Ti:6
Fe:2 Si:2 Tb:2
I:1 K:1 O:3
C:4
Ge:1 Mn:1 Pd:2
Au:7 I:1 P:10
N:4 S:2 Zr:4
Dy:2 Si:4
Ge:26 Ru:8 Tb:6
Ni:2 Sb:1 Ti:1
Ho:1 Os:2 Si:2
Ca:1 Pt:5
Cu:3 Pt:1
F:4 K:2 Mg:1
B:6 Nb:4
Ce:1 Se:1
Nb:6 Tl:2
Ba:2 Br:2 H:2
Al:4 Dy:2
F:1 Rb:1
Ge:3 La:1 Rh:1
Ho:2 In:2 Zn:2
S:1 Zn:1
Ho:3 In:3 Pt:3
Dy:1 Ni:1 Sb:1
Ni:1 Sb:1 Ti:1
C:1 Si:1
Be:4 N:4 Sr:2
N:2 Re:4
Ru:1 V:1
Zn:1 Zr:1
Ge:2 Rh:2 Th:1
Cu:2 Sb:2 Yb:2
Ho:1 In:1 Pt:4
Ga:1 Ni:3
Al:2 Se:4 Tl:2
Ir:1 Ti:1
La:1 Zn:5
Cl:1 K:1 O:4
Bi:4 Pd:4 Te:4
In:1 Pd:2 Sc:1
Re:8 Zr:4
C:1 Tc:1
Ir:3 Te:6
N:3 Ta:1 Th:1
Al:3 Pt:3 Zr:3
Si:2 W:1
Er:1 In:1
C:1 Dy:3 Pb:1
Ir:4 Sb:12
Pd:1 Sc:1
Sn:3 Tb:1
Na:2 O:4
Ge:4 Ni:4 Ti:4
Cs:2 Fe:2 O:4
Dy:1 S:1
Ge:4 Pt:4 Se:4
Er:4 Ge:4 Rh:4
Pd:3 Sc:1
B:1 Er:1 Rh:3
Bi:4 Rh:4 S:4
Cr:3 Ge:3 Nb:3
N:8 Sn:6
Dy:3 Ga:9 Ru:3
Ba:1 Cu:2 S:2
Fe:2 S:6 Ta:9
B:2 Ho:1 Ru:3
O:12 Ta:4 V:2
Mo:6 Pt:2
Ni:2 P:2 Zr:1
F:4 V:2
Co:4 Sb:12
La:2 Pt:4 Si:4
As:2 Na:6
Au:2 Ho:1 Si:2
Er:2 Ir:4
Al:8 Fe:4 Y:1
Ag:2 Th:1
O:8 Pd:6 Tl:2
Al:4 Mg:2 O:8
Al:4 Hg:2 Se:8
Au:2 Dy:1 Si:2
O:12 Sb:8
B:6 V:4
Ca:4 In:4 Pt:4
F:12 Y:4
La:4 S:4
O:8 Pd:6 Tl:2
As:4 La:4 Te:4
Gd:2 O:2 Se:1
N:4 Pt:8 Zr:16
Cd:2 Dy:4 Ge:4
Au:2 Si:2 Sr:1
Mg:2 Sc:4 Se:8
In:1 Y:1
Li:2 O:8 V:4
Ge:3 Rh:3 Sc:3
Se:4 Ta:1 Tl:3
O:4 Sn:2
Au:2 Y:1
Cd:2 Se:8 Yb:4
F:8 Mg:4
N:12 Ta:10
Ni:8 Si:4 Zn:12
Ni:10 P:6 Sr:2
Ca:8 Cl:12 O:2
Ir:8 S:12
In:2 Tb:4
As:8 Pd:4
S:8 Y:4 Zn:2
Ag:1 C:2 K:1
In:2 Rb:2 Te:4
Sr:1 Zn:5
Bi:2 Cu:1 Zr:6
Co:4 Sn:4 Y:4
Na:12 Sb:4 Se:12
C:2 Hf:4 S:2
In:3 Ir:3 Tb:3
In:2 Lu:4 Pd:4
C:4 Nb:16 Ni:8
Cs:2 F:4 H:2
O:8 Ti:4
Ge:1 Te:1
Er:4 Ge:6 Rh:7
I:1 Tl:1
Co:2 Mo:2 P:4
As:4 Ru:2
K:2 Li:2 Se:2
Be:4 Cu:2
Al:2 Os:1
Cu:2 La:2 Pb:2
Co:5 Y:1
Hf:16 Pd:8
Ru:2 Th:2
Cl:6 K:2 Ti:1
B:4 C:4 Ca:2
Ir:4 La:10
Ga:1 Mn:1
K:4 S:2
B:8 Cr:2
Ag:2 Sb:6 Zr:10
Dy:2 Rh:4
La:1 Pd:2 Si:2
Mn:3 N:1 Pd:1
C:11 N:4
Ir:2 W:2
Ca:1 F:2
Bi:10 La:6 Mg:2
B:2 Ti:1
Pt:8 S:8
K:12 S:12 Sb:4
B:4 Mo:6
Hg:4 Mg:8
O:4 S:1 Zn:1
As:4 Pd:4 Tb:4
H:3 K:1 Mg:1
Mg:1 P:1 Pd:5
Sc:1 Zn:1
F:2 Xe:1
Ni:16 Si:7 Ti:6
K:1 O:3 Ta:1
Sb:2 V:6
Pd:6 S:8 Y:2
H:1 Ta:2
Al:4 S:8 Sr:2
Al:2 La:6
Mg:12 Ru:8
Al:9 Ba:1 Co:2
Al:8 Y:12
C:1 Pb:1 Sc:3
Na:16 Sb:8 Sn:2
Fe:1 Ru:2 Sn:1
Si:34
O:4 Te:2
I:2 Li:2
Pd:4 S:4 Sb:4
Nb:1 Zn:3
H:2 In:2 O:4
Ca:3 Pb:3 Pd:3
