compound,spacegroup,grueneisen_parameter,bulk_modulus,poisson_ratio,heat_capacity,thermal_conductivity,thermal_expansion,material_type,debye_temperature
S4Sr2,140,2.03162,49.2747,0.261131,17.6607,4.02792,6.55E-05,Non-Metal,332.93
Se8U6,220,1.86751,63.4574,0.314465,42.222,1.61557,4.55E-05,Metal,193.965
N4Rh8Zr16,227,1.95324,161.702,0.334232,79.6549,2.84101,2.70E-05,Metal,356.997
Li2Si4Y4,127,1.86191,65.991,0.229971,28.1747,5.95019,4.93E-05,Metal,410.998
Ge6Ru7Sc4,229,2.14356,153.156,0.294986,47.7573,4.2252,3.26E-05,Metal,401.973
Nb8O24Zn4,60,2.01526,209.812,0.304381,90.2161,4.53052,2.81E-05,Non-Metal,609.891
Re8W4,194,2.01921,313.456,0.360726,34.6055,5.9875,1.57E-05,Metal,300.02
O8Zr4,14,2.01988,209.312,0.312643,30.5613,8.85618,2.69E-05,Non-Metal,581.886
B6Hf2Ni21,225,2.13924,204.839,0.340836,80.5907,2.36458,3.89E-05,Metal,435.985
Ho4Pt8Si4,62,2.24323,151.5,0.342928,47.3965,1.99643,3.39E-05,Metal,257.039
Ca4Sb2,139,1.76551,32.3771,0.203626,17.9028,4.68827,6.75E-05,Metal,278.944
Al2Ti6,194,1.76785,107.724,0.263613,21.3886,11.4228,3.33E-05,Metal,497.898
Ba1Ru2Sb2,139,2.29157,89.0403,0.239526,14.6597,6.45607,4.11E-05,Metal,309.108
Au2In1Y1,225,2.461,76.1882,0.390045,12.3979,1.0512,6.18E-05,Metal,157.954
Al2N2,194,1.85904,196.558,0.251177,8.08099,37.5222,2.57E-05,Non-Metal,895.006
La3Pd3Sn3,189,2.26263,71.9004,0.302452,27.1322,2.0626,5.06E-05,Metal,235.002
F4Zn2,136,2.03177,95.608,0.316825,17.0641,4.45839,6.98E-05,Non-Metal,426.162
Au2Sn2Y2,186,2.32777,72.4525,0.275262,18.1177,3.02233,5.31E-05,Metal,240.998
As3Hf3Ru3,189,2.19958,185.401,0.316694,25.8678,5.51468,2.83E-05,Metal,338.022
Ca6H4Pb2,63,1.87024,31.2503,0.212412,36.572,2.00057,0.000103342,Non-Metal,283.823
Al8In6Sr22,225,1.85995,22.4817,0.257509,111.197,0.575649,8.91E-05,Metal,200.089
N4Ru8Zr16,227,1.89847,169.314,0.322816,78.8324,3.61421,2.51E-05,Metal,379.97
