compound,spacegroup,grueneisen_parameter,bulk_modulus,poisson_ratio,heat_capacity,thermal_conductivity,thermal_expansion,material_type,debye_temperature
Ca1Cs1F3,221,2.22504,39.2555,0.26506,15.4292,2.42221,0.000114448,Non-Metal,304.758
F3Hg1Rb1,221,2.40916,40.4461,0.36559,16.0792,0.775665,0.000122166,Non-Metal,192.885
As2V6,223,2.04409,174.21,0.270131,21.1981,11.4027,3.05E-05,Metal,516.956
Ge6N8,227,2.27289,198.511,0.209981,32.7077,10.6753,3.44E-05,Non-Metal,723.02
Al8O20Si4,58,1.92413,182.943,0.24368,64.4979,8.99218,2.57E-05,Non-Metal,898.82
O12Rh4U2,136,2.12026,200.4,0.338285,49.6866,3.82191,3.17E-05,Non-Metal,439.038
Pt9Sc5Si7,174,2.19989,157.531,0.303525,60.3859,2.95066,3.31E-05,Metal,345.972
Cd1Ni4Y1,216,2.46971,97.2103,0.317702,17.9853,2.70393,6.87E-05,Metal,314.893
Ru2Sb2Sr1,139,2.26313,96.9193,0.267038,14.6286,6.10603,3.99E-05,Metal,311.965
Cs8I24Sn4,225,2.50365,11.7984,0.300967,123.26,0.103803,0.000183793,Non-Metal,115.929
Be2Na2Sb2,194,1.87857,36.3071,0.21989,17.9502,3.97761,8.60E-05,Non-Metal,312.877
Ni3Sn1,221,2.34844,138.827,0.312486,11.5827,5.91168,4.95E-05,Metal,363
Dy1Ge2Ni2,139,2.1682,112.981,0.325691,14.7161,4.39503,4.67E-05,Metal,303.931
C1Dy3Tl1,221,1.95352,37.7431,0.365239,15.3823,1.08478,6.00E-05,Metal,136.977
Ag8Ca19N7,225,1.95197,42.0151,0.282696,102.122,0.909428,7.83E-05,Metal,291.055
Si41,217,2.03593,69.6025,0.259063,109.059,2.41433,4.36E-05,Non-Metal,526.157
B2Nb2Ni2,63,1.97409,228.532,0.249169,14.9647,22.354,2.58E-05,Metal,614.908
Cr2S2,15,2.03422,72.0542,0.299595,11.5066,5.96175,5.71E-05,Non-Metal,379.857
Au6Sb8Y6,220,2.24634,73.9053,0.290951,60.256,1.32398,4.94E-05,Non-Metal,232.962
Ho1S1,225,2.04008,93.1625,0.305861,5.8971,9.49212,4.20E-05,Metal,284.05
O4Rb2Sc2,194,2.05728,95.6743,0.252599,21.855,6.85733,5.03E-05,Non-Metal,483.834
Ir4Sb4Te4,198,2.39585,113.245,0.236328,35.1369,3.93343,3.68E-05,Non-Metal,307.017
N4Ta2,194,1.99334,275.375,0.277138,15.5121,20.1425,2.35E-05,Metal,552.989
Ag2F6Rb2,140,2.46706,41.596,0.320634,31.9418,0.829701,0.00013215,Non-Metal,262.796
Al4Er2Ni2,63,1.91669,93.342,0.271445,23.0043,5.75013,4.53E-05,Metal,357.031
Mo6Zr2,223,1.89053,182.943,0.440511,23.7416,1.64266,2.33E-05,Metal,209.974
Si16Ti20,92,1.92318,132.233,0.242157,91.2585,5.19987,3.11E-05,Metal,592.933
Be24P16,206,1.71058,91.7869,0.189303,88.9186,6.2643,4.13E-05,Non-Metal,786.196
Er1Ni2P2,139,2.19028,142.543,0.263715,13.944,9.69237,4.15E-05,Metal,433.879
Se1Zn1,216,2.05513,51.145,0.295647,6.04321,5.4493,6.95E-05,Non-Metal,260.071
Al4O12Y4,62,1.96509,189.412,0.254463,47.2784,8.78906,3.12E-05,Non-Metal,699.102
Cu6O8Pb1,225,2.27498,107.536,0.354609,43.8627,1.60526,5.92E-05,Non-Metal,353.842
Ag6P2S8,31,2.21936,50.0281,0.363324,49.2215,0.646044,7.84E-05,Non-Metal,228.124
La4O14Sn4,227,2.20506,137.525,0.282543,60.688,3.44255,3.93E-05,Non-Metal,454.023
Al6Th2,194,1.97783,80.8766,0.288774,23.3749,4.35912,4.39E-05,Metal,312.933
B4C4Er2,127,1.73658,200.021,0.225351,24.068,20.3828,2.81E-05,Metal,667.861
Au4Ca4Ga4,62,2.36628,51.6372,0.321415,37.4112,0.854193,8.48E-05,Metal,207.069
Pt2S2,131,2.39629,123.456,0.377037,11.9987,2.71238,4.09E-05,Non-Metal,236.025
Rh1Si3Tb1,107,2.04434,121.705,0.311671,14.2879,7.22675,3.79E-05,Metal,366.045
Al3Os2,139,2.04627,200.095,0.254943,13.6673,16.9173,2.72E-05,Metal,452.088
Ir6Sn6Zr6,190,2.16384,153.073,0.313994,52.405,3.03393,2.84E-05,Metal,300.02
Cl6K2Sn1,225,2.38089,24.1973,0.307269,28.8026,0.780749,0.000130736,Non-Metal,238.967
Ni1Zn1,123,2.26679,126.209,0.301091,5.77677,9.70334,5.92E-05,Metal,384.098
Ga3Pt3Th3,189,2.22599,112.411,0.348963,26.9844,2.0683,3.55E-05,Metal,212.03
C1In1Pt3,221,2.45002,181.481,0.453465,15.2311,0.649876,3.67E-05,Metal,149.014
Te12Th7,174,2.07825,65.827,0.319136,57.2766,1.21252,3.91E-05,Metal,190.992
Ga4La4Pd8,62,2.28345,86.2125,0.366529,48.5288,0.893828,5.24E-05,Metal,218.029
N8Si6,176,1.89331,229.763,0.273667,27.1649,17.9999,2.02E-05,Non-Metal,939.086
Sc1Se1,225,2.02994,73.5577,0.318484,5.88133,7.87107,5.06E-05,Metal,309.084
Cd1S1,216,2.13709,47.7194,0.363979,6.13299,2.63546,6.92E-05,Non-Metal,206.899
Al4Tb8,62,1.61802,51.8437,0.276504,35.8806,2.8517,4.70E-05,Metal,221.049
Ba4Ge8P8,105,2.14261,51.416,0.237457,59.3716,1.83079,6.36E-05,Non-Metal,312.023
N2Ta2,194,2.03,304.938,0.278085,10.6704,25.5906,2.16E-05,Metal,493.983
O1Sc1,225,2.32961,140.392,0.27327,5.08991,18.4002,4.69E-05,Metal,612.049
Co8N4Zr16,227,1.9188,149.596,0.304031,78.2713,3.55887,3.00E-05,Metal,404.019
P4Zn6,224,2.12964,62.9698,0.259012,29.3554,2.99174,7.22E-05,Metal,358.801
Li1Mg4Si2,123,1.94479,43.1757,0.345966,20.7181,2.0204,8.91E-05,Metal,354.057
Al3Cu3Er3,189,1.92787,77.2023,0.278199,26.5708,3.69973,5.20E-05,Metal,293.962
I1Na1,225,2.22993,10.5599,0.294568,7.02404,0.851748,0.000251236,Non-Metal,139.821
H6Na2Pt1,225,1.84753,55.8349,0.219988,25.6363,4.25043,0.000109438,Non-Metal,463.359
K2Sb2Zn2,194,2.18457,23.0185,0.214766,18.9667,1.76231,0.00011906,Non-Metal,226.063
Mn1Pd2Sb1,225,2.34737,100.613,0.384509,12.1484,1.91199,5.39E-05,Metal,220.102
Ir2Th2,63,2.07355,129.542,0.40197,12.023,2.45036,2.61E-05,Metal,162.021
Ge6Ir4Tb6,63,2.08426,113.995,0.294399,47.1279,2.79469,3.57E-05,Metal,274.989
As1Br3Ca3,221,1.98612,30.5555,0.231743,21.2871,2.54234,8.48E-05,Non-Metal,265.154
Ca3O12S3,180,2.08715,109.368,0.259592,43.6306,5.81437,4.03E-05,Non-Metal,674.113
Cd4O12Sn4,62,2.3211,138.555,0.311856,56.5423,2.37723,4.80E-05,Non-Metal,416.995
Li3Pb1,225,1.88522,20.2977,0.192404,13.0236,2.30068,0.000195446,Metal,235.963
Er12Os4,62,1.77918,76.4842,0.302208,47.8747,2.16967,3.64E-05,Metal,202.014
Bi1Mg1Ni1,216,2.15805,60.9517,0.283661,9.1106,4.10048,6.86E-05,Metal,245.896
Br6Rb2Te1,225,2.26369,18.4087,0.291008,29.1387,0.574932,0.000132499,Non-Metal,164.023
Hf2N4,194,1.91882,221.371,0.374252,16.9796,6.7576,2.84E-05,Non-Metal,371.981
I6Pd1Rb2,225,2.49292,16.4883,0.340559,30.0998,0.263696,0.000153775,Metal,122.015
Li8O8Pb2,63,2.11748,74.5869,0.258968,51.4353,2.23797,9.06E-05,Non-Metal,449.828
Au2Nb6,223,2.00576,167.947,0.344568,23.2297,5.22147,2.57E-05,Metal,298.039
Al10Ta20,136,1.74984,155.673,0.343271,87.4835,2.51749,2.46E-05,Metal,276.017
Ir4S4Sb4,29,2.36134,135.97,0.23908,34.3511,5.07883,3.53E-05,Non-Metal,365.921
B12Sc1,225,1.6463,206.706,0.150263,17.3282,43.4633,1.79E-05,Metal,1319.7
C1Ru1,225,2.10513,303.719,0.475088,5.96931,1.49975,2.80E-05,Metal,204.963
Ca1Ge2Ir2,139,2.27881,134.266,0.262292,14.424,8.1076,3.62E-05,Metal,345.984
S9,154,1.95388,35.5124,0.224693,25.7231,4.10801,6.37E-05,Non-Metal,402.022
Ag2Hg1I4,111,2.47684,17.4881,0.334938,23.2575,0.324344,0.00014652,Non-Metal,118.059
Ga2Hf6Ni1,189,1.72032,117.951,0.27366,26.2421,7.13921,2.98E-05,Metal,285.035
Cr1Ni1Sb1,216,2.51514,74.103,0.331106,9.18192,2.81656,7.49E-05,Metal,264.839
C1Sc3Sn1,221,1.89721,90.6085,0.190897,13.5093,16.146,3.85E-05,Metal,486.993
C12,194,1.63934,154.162,0.191151,17.1411,44.067,1.35E-05,Metal,1255.19
Al2Fe1Zr6,189,1.64954,103.64,0.296601,25.6304,7.81941,3.04E-05,Metal,353.037
Ca4Nb4O14,227,2.03167,168.478,0.23249,51.7565,8.92748,2.85E-05,Non-Metal,705
Eu1Hg1,221,2.29531,24.8177,0.294742,6.47122,1.38156,0.000121995,Metal,127.94
Mg2O6V2,65,2.06175,115.375,0.395441,28.0603,2.32607,4.62E-05,Metal,423.019
Ni16Si7Zr6,225,2.12913,173.643,0.290036,78.5541,3.57962,3.44E-05,Metal,482.118
P4Ru4Ta4,62,2.13803,252.53,0.306968,33.2063,7.84497,2.22E-05,Metal,419.992
As4Zn6,224,2.21008,49.9085,0.312522,30.7682,1.27106,8.65E-05,Metal,247.952
Cd4Rh4Tb16,216,1.83459,58.3995,0.292641,72.3115,1.28251,4.77E-05,Metal,201.999
Cu2Er1In1,225,2.19235,75.0357,0.30431,12.1196,3.42503,6.46E-05,Metal,249.118
B4C2U2,51,1.90906,203.159,0.187746,20.1,23.7043,2.75E-05,Metal,603.084
Ca4O12Zr4,62,2.02325,156.786,0.261995,49.7754,6.98271,3.22E-05,Non-Metal,624.899
N1Na3,221,1.9676,17.2895,0.276389,12.5773,2.02204,0.000164972,Metal,313.949
Pu1Te1,221,2.17095,53.5116,0.256982,6.12498,5.06453,6.03E-05,Metal,189
Ge6Ta10,140,2.02285,186.849,0.270432,45.5219,6.25187,2.43E-05,Metal,353.984
Os2P4,58,2.18776,203.752,0.197741,15.6168,21.322,2.52E-05,Non-Metal,546.109
Pd6S2,63,2.62323,119.701,0.345288,23.9474,1.94285,5.42E-05,Metal,292.079
Nb1Pd3,139,2.42818,180.433,0.325386,11.5296,7.05245,3.34E-05,Metal,345.957
Ir4Si4Tb2,129,2.08226,176.427,0.333961,28.9783,4.60419,2.79E-05,Metal,310.964
O8Ru4,205,2.26257,258.029,0.280001,29.287,9.89981,2.91E-05,Metal,654.835
Pt6Y14,186,1.73772,67.7021,0.370306,60.1305,1.03595,3.88E-05,Metal,182.998
Co2P4W2,194,2.1779,204.892,0.273649,21.6571,10.3591,2.94E-05,Metal,477.885
As1Te1,225,2.16692,57.5425,0.328046,6.07906,4.06999,5.81E-05,Metal,215.911
Ba2Pb12Rh6,63,2.46292,63.3847,0.305648,61.5602,0.75573,6.01E-05,Metal,189.968
Hg10Pd4,127,3.25283,46.2104,0.426607,48.3764,0.0851389,0.000145895,Metal,105.068
Ba2Pt2,194,2.26761,44.7619,0.324678,12.3955,1.52192,6.64E-05,Metal,155.916
Ca1Pt1Si3,107,2.14767,99.4061,0.323104,14.5515,4.78953,4.72E-05,Metal,337.88
B12Er1,225,1.65278,209.635,0.136983,22.74,37.3594,2.29E-05,Metal,1053.06
H1Se1Y1,187,1.91788,75.591,0.196023,8.46673,14.2347,5.62E-05,Non-Metal,419.174
Ba2Mo6Te6,176,2.1965,85.091,0.249539,41.0161,3.36118,3.76E-05,Metal,300.993
Mn1S1,221,2.14626,177.867,0.319289,5.36995,17.2457,3.86E-05,Metal,505.169
In3Pd3Th3,189,2.22321,91.1227,0.353629,27.1438,1.63473,4.02E-05,Metal,200.013
Ag2S6Ta2,36,2.03909,99.9481,0.315036,29.1344,3.51391,4.13E-05,Non-Metal,319.1
Dy4Mg2Si4,127,1.86704,74.9731,0.195193,28.6459,6.92877,4.41E-05,Metal,363.894
Ho3Pt3Sn3,189,2.23228,101.395,0.297683,26.8932,2.84957,4.02E-05,Metal,240.002
P1Rh2,225,2.35014,211.651,0.341268,8.44058,10.4142,2.99E-05,Metal,399.043
Ge4Pd8Y4,62,2.30383,106.847,0.344777,47.6314,1.46648,4.60E-05,Metal,272.052
Ag1Li1,221,2.22319,26.0412,0.322617,6.72955,1.39359,0.000203831,Metal,194.883
Ca1N2,139,1.99469,109.41,0.289318,7.60583,14.9832,4.67E-05,Metal,609.891
Cd1Ho1,221,1.99577,52.0525,0.304432,6.1045,4.53629,6.01E-05,Metal,189.969
H1Ho1Se1,187,1.92935,78.8052,0.194757,8.69486,12.3913,5.71E-05,Non-Metal,356.087
Al4Pd4,198,2.2828,135.085,0.318666,22.9268,4.20196,4.40E-05,Metal,377.938
Br6Rb2Sn1,225,2.4166,17.5629,0.302802,29.7717,0.456861,0.000151625,Non-Metal,159.913
Ho8S12,62,1.88944,83.5391,0.274896,58.2686,2.85149,4.15E-05,Non-Metal,314.001
O8Si4,205,2.07046,291.372,0.219891,19.6553,24.9604,2.06E-05,Non-Metal,1121.17
Al1Cu2Sc1,225,2.05673,89.6892,0.312692,11.5669,5.8271,5.66E-05,Metal,367.024
Ir6Sn14,229,2.58887,96.1525,0.287605,60.1574,1.33327,4.88E-05,Metal,257.975
C60Rb6,204,1.6708,170.681,0.26385,134.742,6.75982,2.20E-05,Non-Metal,880.055
Gd4O14Ti4,227,1.97634,175.68,0.268256,56.8863,6.45483,3.13E-05,Non-Metal,560.876
Au2La2,63,2.1904,57.03,0.41709,12.3562,0.662441,5.52E-05,Metal,115.98
Cu2Hf10Pb6,193,2.11792,102.657,0.281949,53.6585,2.16858,3.84E-05,Metal,239.073
Ge4Mg2Y4,127,1.95679,67.5168,0.19112,28.5958,6.13715,4.88E-05,Metal,379.112
Nb6Pt2,223,1.94274,192.728,0.326957,22.8707,7.90906,2.21E-05,Metal,336.036
In3Rh2Ti3,189,2.16754,116.906,0.299058,23.163,4.66471,3.92E-05,Metal,336.963
Cu4Se8,205,2.22547,64.3717,0.324786,36.4072,1.34732,6.97E-05,Metal,260.109
F4Mg1Rb2,139,2.16886,39.2256,0.271975,21.602,1.93049,0.000125188,Non-Metal,321.02
Bi1Dy1,225,1.94859,51.1147,0.258691,6.06047,6.39882,4.88E-05,Metal,185.968
Cs3H9Mg3,166,1.62667,23.7138,0.178691,45.8,1.84575,0.000151118,Non-Metal,323.943
B1Hf1Rh3,221,2.13797,213.6,0.304693,14.0262,11.2408,2.73E-05,Metal,396.946
Ge1O3Pb1,221,2.45766,139.579,0.250165,14.0576,7.38513,5.47E-05,Metal,446.123
Al1C1Ti3,221,1.86582,141.829,0.25241,12.4744,21.4351,2.89E-05,Metal,616.036
Cr2Er2O8,141,2.04561,151.613,0.303846,32.4867,5.86044,3.66E-05,Non-Metal,483.89
I10In2Sn4,140,2.22159,19.4033,0.275101,51.5171,0.431356,0.000121615,Non-Metal,147.961
N1Nb1,221,2.00277,282.256,0.229385,4.67686,66.0028,2.14E-05,Metal,707.005
N2Te1Th2,139,1.92,107.248,0.324352,14.6991,6.19272,2.94E-05,Non-Metal,263.01
Cu2Sn2Y2,194,2.11579,69.2136,0.237808,17.709,5.02127,5.33E-05,Metal,307.038
Al2Hg1S4,82,2.08151,59.8381,0.255004,20.3505,4.45629,5.72E-05,Non-Metal,355.115
Au4Y8,62,1.96678,60.6675,0.348243,36.379,1.2269,4.91E-05,Metal,187.029
Cl1Tl1,221,2.40213,16.1761,0.341424,6.89793,0.592328,0.000205755,Non-Metal,113.963
Ge2,227,2.3062,52.2878,0.1994,5.95607,8.77592,7.16E-05,Metal,329.12
Cd2Er1,191,2.18581,50.5337,0.269374,9.21712,3.43563,7.13E-05,Metal,208.124
As1Cd1Li1,216,2.12251,39.9161,0.237832,9.20145,4.19656,9.85E-05,Metal,278.91
Bi4O14Ti4,227,2.03077,164.642,0.307087,60.3948,3.89553,3.47E-05,Non-Metal,453.08
Co4P12,204,2.20693,129.674,0.175681,38.941,8.875,3.85E-05,Metal,667.914
S8Zn8,186,1.98978,63.3227,0.282198,46.6459,2.31504,6.19E-05,Non-Metal,352.125
La1Mg1Ni4,216,2.41946,78.2225,0.349012,18.3751,1.71284,8.06E-05,Metal,272.99
Nb6Rh2Se12,182,2.13393,110.801,0.211792,56.0832,4.84888,3.56E-05,Metal,411.089
Ag2Ho2Pb2,186,2.33203,54.8428,0.274547,18.507,1.94752,6.82E-05,Metal,196.046
Ni4Sc6Si6,63,1.99444,113.193,0.231947,41.9561,6.90123,3.80E-05,Metal,544.186
Pt3Sn3Y3,189,2.22633,98.9635,0.306279,26.8036,2.83601,4.05E-05,Metal,252.957
Mn2Se6Th2,63,1.99258,70.5467,0.307913,29.812,2.56696,4.40E-05,Non-Metal,247.055
Ag1Cd1Sb1,216,2.45653,45.4746,0.454981,9.57572,0.209793,8.95E-05,Metal,92.9504
In4Mg2O8,227,2.12797,132.954,0.29984,38.4813,4.1691,4.46E-05,Non-Metal,467.106
Ba2Ge2Zn2,194,2.14668,33.3037,0.206075,18.5438,2.65224,9.23E-05,Metal,242.981
B1C7,25,1.75927,367.607,0.111226,5.59554,124.608,7.50E-06,Metal,1898.79
Re8Y4,194,1.95676,194.027,0.40188,35.486,2.27555,2.14E-05,Metal,221.995
O14Tb4Ti4,227,1.98553,180.925,0.266086,56.6322,6.63451,3.09E-05,Non-Metal,567.945
Bi1Ho1Pt1,216,2.20873,84.291,0.309618,9.06036,4.30266,4.21E-05,Metal,198.972
Si4Th2,141,2.09804,94.4349,0.351841,17.8549,2.93156,4.08E-05,Metal,250.946
S1Zr1,225,2.12128,124.834,0.325526,5.68017,12.4994,3.58E-05,Metal,380.06
Dy4Ge6Ir7,229,2.23085,161.506,0.245406,48.7936,4.6709,3.09E-05,Metal,347.078
F6La2,59,2.18721,101.523,0.316116,23.0758,3.44611,5.82E-05,Non-Metal,382.037
Co4P12,204,2.20566,129.594,0.175716,38.9439,8.88645,3.85E-05,Metal,667.79
As2Ca1Fe2,139,2.18205,109.076,0.221497,13.8066,10.7168,4.50E-05,Metal,459.994
Ge3Hf3Os3,189,2.09053,200.819,0.294301,25.7999,7.56488,2.45E-05,Metal,335.965
C1Th1,225,1.8206,139.827,0.250005,5.67766,29.595,2.45E-05,Metal,355.982
Co8Ge26Tb6,223,2.17684,97.138,0.240539,115.826,1.77386,5.10E-05,Metal,358.921
Al1Dy1,221,1.82983,60.0475,0.266117,5.95016,9.56531,5.20E-05,Metal,262.98
Pt6Sb4,72,2.53536,135.534,0.40707,30.3876,0.807631,3.90E-05,Metal,176.947
As2Pb6Zr10,193,2.09586,98.9865,0.244596,52.616,3.32607,3.68E-05,Metal,302.006
Al9Co2Sr1,191,1.99602,85.7442,0.204001,31.7099,7.46179,4.71E-05,Metal,540.816
In2Te4Zn1,82,2.23388,33.0273,0.250746,21.6791,1.66508,7.88E-05,Non-Metal,200.98
Pt4Y8,62,1.89843,75.7924,0.354209,36.0336,1.60547,4.00E-05,Metal,200.95
Er2Pd6S8,223,2.18475,94.9551,0.389357,48.1013,0.896527,4.90E-05,Metal,236.904
B4C4La2,127,1.77458,170.509,0.215207,23.6223,20.1604,2.79E-05,Metal,696.038
Si4Y2,141,2.07045,79.5971,0.384264,17.8375,2.03305,5.29E-05,Metal,279.986
Sr1,225,1.60502,10.8535,0.292033,3.12177,2.66941,0.000104575,Metal,124.981
Al6Zr2,139,1.90959,96.5078,0.182399,20.8358,13.5073,3.93E-05,Metal,555.826
Dy1Pt2Si2,139,2.19172,147.956,0.370306,14.8343,3.49274,3.44E-05,Metal,250.045
As2Cs1Rh2,139,2.34096,78.1871,0.224222,14.6553,6.10291,4.81E-05,Metal,327.033
H2La1,225,1.81717,56.5538,0.272878,8.86184,6.7022,8.05E-05,Metal,336.109
Ca7Ge1,225,1.55078,17.9496,0.320892,24.5877,1.29657,9.61E-05,Metal,199.941
N1Tc3,187,2.18126,315.566,0.273869,10.1821,28.7143,1.94E-05,Metal,577.041
Li2Nb2O4,194,2.04858,198.65,0.229181,18.2891,17.7999,3.19E-05,Non-Metal,747.139
Al10W2,182,1.97562,118.909,0.197158,31.7064,9.83043,3.78E-05,Metal,529.972
Bi1Ca3N1,221,1.94452,49.5646,0.165482,14.6001,7.62895,6.34E-05,Non-Metal,347.131
In1Ni4Zr1,216,2.43973,119.819,0.303367,17.5646,3.786,5.59E-05,Metal,350.075
Ag8S4,19,2.49462,52.4948,0.397053,38.2669,0.337552,0.000101496,Metal,172.118
Co4Cu2S8,227,2.10911,97.7548,0.339097,40.3652,2.20631,5.35E-05,Metal,371.928
Sn2,227,2.27602,30.05,0.271132,6.23042,2.90827,8.08E-05,Metal,182.08
Al6C2Zr10,193,1.76407,114.516,0.240299,49.0516,7.52648,3.01E-05,Metal,457.03
B2Ca1Rh3,191,2.12811,179.238,0.271971,16.1,12.1029,3.24E-05,Metal,497.874
As6Sr6,189,1.97204,37.7929,0.249903,36.2428,1.95293,6.63E-05,Metal,247.965
O4Si2,136,2.03142,280.902,0.201659,9.49743,46.1115,1.90E-05,Non-Metal,1153.75
Ba1Cd2Ge2,139,2.23267,37.5963,0.323238,15.6925,1.24185,9.26E-05,Metal,182.015
C10Si10,156,1.85266,201.423,0.161087,33.225,24.2568,1.95E-05,Non-Metal,1106.23
Cd4O12V4,62,2.12647,176.993,0.301575,52.6891,4.43936,3.78E-05,Non-Metal,537.872
O2Zr1,225,2.01372,223.319,0.30933,7.561,23.9236,2.68E-05,Non-Metal,599.013
As1Pu1,225,2.0681,68.7925,0.259491,6.01972,7.80575,4.83E-05,Metal,224.019
Au1Pd3,221,2.70448,127.798,0.351963,12.1436,2.50825,5.32E-05,Metal,244.98
Ge3Ru3Sc3,189,2.1004,139.683,0.252485,24.8312,8.49,3.33E-05,Metal,441.944
Ge4Ir4Th2,129,2.23439,166.334,0.323382,29.276,3.94444,2.82E-05,Metal,283.025
Cd8Yb4,194,2.35398,29.2982,0.25618,38.8334,0.70711,0.000127038,Metal,173.891
Ga4Pd4Tb4,62,2.13186,87.0509,0.420849,36.6624,0.522614,5.00E-05,Metal,160.048
Tb1Te1,225,2.02172,59.4826,0.341322,6.06782,4.03319,4.69E-05,Metal,179.974
F20K2Tb6,225,2.14426,90.305,0.281732,80.5686,1.75239,6.19E-05,Non-Metal,391.832
Pd4Se8,61,2.33249,66.491,0.264845,35.8495,2.16554,5.81E-05,Non-Metal,291.033
Co2Dy2Ge4,63,2.15102,103.439,0.315434,23.6221,3.24496,4.66E-05,Metal,293.039
N4Pt2,58,2.34466,278.438,0.24128,15.4079,16.6066,2.99E-05,Non-Metal,576.882
C2Ga2Sc4,194,1.8901,92.2957,0.229567,21.5042,10.0791,4.04E-05,Metal,498.871
Hg4K2,74,2.76869,7.81989,0.341748,23.351,0.0863275,0.000373245,Metal,78.0329
Na2Nb2Se4,194,2.09681,79.367,0.237206,22.9779,5.56409,4.82E-05,Non-Metal,372.039
Co8Er6Ge26,223,2.17331,98.3852,0.24256,115.945,1.76847,5.11E-05,Metal,356.974
Ti2Zn1,139,1.90491,102.963,0.265351,8.33862,15.0647,4.03E-05,Metal,430.911
Ho1Pd1,221,2.07539,84.0795,0.358913,6.05443,4.11184,4.70E-05,Metal,194.939
Ca3Tl1,225,1.95819,18.5035,0.306185,12.7754,1.06871,0.000128609,Metal,157.015
Cd4Pd2Sr2,63,2.36014,41.8839,0.318944,25.1293,0.915474,9.15E-05,Metal,188.958
Cs2I6Pt1,225,2.46513,18.1465,0.265427,29.3127,0.537885,0.000124898,Non-Metal,143.873
Ge4Rh4Sc4,62,2.15423,129.474,0.304816,34.1959,4.09276,3.68E-05,Metal,374.095
S1Ta1,187,2.12163,181.298,0.30482,5.69361,17.8351,2.85E-05,Metal,362.037
Ca2In8Rh2,51,2.44479,58.0262,0.266532,36.6755,1.52823,7.21E-05,Metal,257.019
Bi1Cu1Mg1,216,2.13656,48.3862,0.302824,9.24663,2.81239,7.92E-05,Metal,211.86
Al6Os2U4,194,2.00565,96.7818,0.250635,35.2312,4.12965,4.10E-05,Metal,294.082
Al2N2Zr6,63,1.79394,140.591,0.227781,26.5157,14.8153,2.59E-05,Metal,507.01
N2Y2,194,1.95909,138.566,0.251107,10.6172,18.5086,3.30E-05,Non-Metal,515.918
B2Ta1,191,1.82982,287.162,0.240238,7.48285,47.9423,2.29E-05,Metal,609.958
Si2,141,2.24515,97.5417,0.263105,5.21858,16.5235,5.15E-05,Metal,573.881
Ag3La3Mg3,189,1.9717,39.5847,0.364634,27.8073,0.807069,7.50E-05,Metal,169.948
As8In8,205,2.2652,46.7209,0.276683,48.9885,1.1384,7.27E-05,Metal,236.15
Dy6Ge26Ru8,223,2.15942,107.994,0.30283,117.062,1.35082,4.25E-05,Metal,311.899
Ge6Mo10,140,2.12503,205.399,0.31121,44.4453,5.47929,2.51E-05,Metal,415.98
Be26Er2,226,1.59004,106.741,0.100958,58.2401,12.7868,4.36E-05,Metal,867.789
Au1Ho1,221,2.16812,76.6901,0.34043,6.09883,3.76495,5.02E-05,Metal,175.974
Cu4Mg4P4,62,2.12345,82.02,0.273861,33.9426,3.38746,6.34E-05,Non-Metal,432.765
Mg4Th2,227,1.73211,47.8771,0.286099,17.9952,3.5876,5.39E-05,Metal,229.986
Bi1Pd1Y1,216,2.18557,71.5569,0.302975,9.04763,4.42091,4.83E-05,Metal,223.06
Au8Li30,220,1.90037,21.9739,0.295436,125.439,0.296593,0.000207459,Metal,213.999
Pt1V3,221,2.14508,94.1745,0.268606,11.7685,5.81527,5.41E-05,Metal,314.141
Ir4La2,227,2.20492,164.942,0.323198,17.6517,5.40661,2.76E-05,Metal,265.01
O8V2Y2,141,1.95964,152.477,0.324975,31.4493,6.43648,3.26E-05,Non-Metal,538.137
O4Re2,136,2.23451,269.374,0.294033,15.8855,13.6076,2.63E-05,Metal,516.875
In2La4Pd4,127,2.12665,63.5468,0.329727,30.3432,1.49168,5.29E-05,Metal,205.973
B1Ce1Rh3,221,2.18589,181.896,0.362677,14.4862,5.31949,3.11E-05,Metal,320.043
Ag4Se4Tl4,62,2.44509,32.3785,0.349833,38.9384,0.324216,0.000120407,Non-Metal,139.105
Ru4Y12,62,1.69736,64.3427,0.3072,47.3129,2.54817,3.92E-05,Metal,252.975
Ba4Mn4O12,194,2.56814,108.171,0.239317,55.663,2.63685,6.38E-05,Non-Metal,485.858
Ag16Ca6,229,2.46336,38.8756,0.347481,70.4247,0.311928,0.000110512,Metal,181.049
Er1In1Pt4,216,2.4394,152.032,0.352063,17.9646,2.79145,3.55E-05,Metal,229.053
Ag1Sc1,221,2.18897,63.6721,0.315161,6.03363,5.1347,6.42E-05,Metal,264.006
S4Si2,122,2.07834,67.4602,0.199675,15.7165,10.7017,4.66E-05,Non-Metal,556.989
Cu1Pt7,225,2.72753,202.549,0.35428,23.8828,2.28524,3.57E-05,Metal,252.045
Al3Er3Pd3,189,2.01711,91.0067,0.34106,26.8493,2.34642,4.50E-05,Metal,246.925
Yb3Zn11,71,2.22664,39.9232,0.277887,44.4685,0.854927,0.000121204,Metal,218.968
Al16Ni7Sc6,225,1.97714,101.234,0.248955,77.502,3.65252,4.46E-05,Metal,517.031
Gd1Te1,225,2.07057,54.8376,0.351416,6.09945,3.1224,5.07E-05,Metal,167.948
As8Ni4,205,2.2423,104.346,0.317115,35.1393,2.4538,5.15E-05,Metal,333.113
