compound,spacegroup,grueneisen_parameter,bulk_modulus,poisson_ratio,heat_capacity,thermal_conductivity,thermal_expansion,AtomicNumber_Mean,AtomicNumber_Weighted_Mean,AtomicNumber_Geometric_Mean,AtomicNumber_Weighted_Geometric_Mean,AtomicNumber_Entropy,AtomicNumber_Weighted_Entropy,AtomicNumber_Range,AtomicNumber_Weighted_Range,AtomicNumber_Standard_Deviation,AtomicNumber_Weighted_Standard_Deviation,AtomicMass_Mean,AtomicMass_Weighted_Mean,AtomicMass_Geometric_Mean,AtomicMass_Weighted_Geometric_Mean,AtomicMass_Entropy,AtomicMass_Weighted_Entropy,AtomicMass_Range,AtomicMass_Weighted_Range,AtomicMass_Standard_Deviation,AtomicMass_Weighted_Standard_Deviation,AtomicRadius_Mean,AtomicRadius_Weighted_Mean,AtomicRadius_Geometric_Mean,AtomicRadius_Weighted_Geometric_Mean,AtomicRadius_Entropy,AtomicRadius_Weighted_Entropy,AtomicRadius_Range,AtomicRadius_Weighted_Range,AtomicRadius_Standard_Deviation,AtomicRadius_Weighted_Standard_Deviation,Electronegativity_Mean,Electronegativity_Weighted_Mean,Electronegativity_Geometric_Mean,Electronegativity_Weighted_Geometric_Mean,Electronegativity_Entropy,Electronegativity_Weighted_Entropy,Electronegativity_Range,Electronegativity_Weighted_Range,Electronegativity_Standard_Deviation,Electronegativity_Weighted_Standard_Deviation,material_type,debye_temperature
Ce1Se1,221,2.09768,82.6115,0.249983,5.881,11.9189,4.33E-05,46.0,46.0,44.40720662234904,44.40720662234904,0.6587238765203249,0.6587238765203249,24.0,12.0,12.0,33.61547262794322,109.54350000000001,109.54350000000001,105.19078208664484,105.19078208664483,0.653679524289582,0.653679524289582,61.14500000000001,30.572500000000005,30.572500000000005,80.41907780029563,144.0,144.0,138.03984931895573,138.03984931895573,0.6520475862917009,0.6520475862917009,82.0,41.0,41.0,105.87020355132978,1.835,1.835,1.6899704139422087,1.6899704139422087,0.6151872496882236,0.6151872496882236,1.4299999999999997,0.7149999999999999,0.7149999999999999,1.3925605911413694,Metal,298.049
Ho1Pt1Sb1,216,2.22432,94.6722,0.296921,8.9729,5.79693,3.97E-05,65.33333333333333,65.33333333333333,64.3546393019801,64.3546393019801,1.0839268977513157,1.0839268977513157,27.0,9.0,11.08552609887726,75.71144049760393,160.59133333333332,160.59133333333332,157.6432271147394,157.6432271147394,1.0806593882888793,1.0806593882888793,73.324,24.441333333333326,30.091197664581063,186.246955719192,178.66666666666666,178.66666666666663,174.5732841614754,174.5732841614754,1.0758583279465528,1.0758583279465528,93.0,31.0,37.985377303495206,207.46887316735808,1.8533333333333333,1.853333333333333,1.7914221503943506,1.791422150394351,1.0671594366322488,1.0671594366322488,1.0499999999999998,0.3499999999999999,0.4506538459714826,2.1558035367094304,Non-Metal,235.017
In2Sc6,194,1.80369,56.9844,0.242742,23.2185,5.43107,4.98E-05,35.0,28.0,32.07802986469088,25.95454925747139,0.6108643020548935,0.6853142072764582,28.0,3.5,14.0,19.953069939234915,79.886954,62.421431,71.84530217588343,56.831952235087044,0.5942444780391088,0.6899196745452895,69.86209199999999,5.012431000000003,34.931045999999995,44.28069281649465,170.0,177.0,169.42254867637897,176.5608930552112,0.6897523336955567,0.5273366661854085,28.0,99.0,14.0,143.40502083260543,1.57,1.465,1.5558920271021381,1.4546522460227078,0.6841747170799278,0.6140118047495567,0.41999999999999993,0.575,0.20999999999999996,1.1128454519833382,Metal,334.901
Rh3Ti1,221,2.24092,212.428,0.269507,10.8998,16.8462,2.69E-05,33.5,39.25,31.464265445104548,37.62833965284284,0.6330098430693639,0.40519466481919386,23.0,28.25,11.5,34.19521165309553,75.3865,89.14625000000001,70.18405447108339,84.98447098971263,0.6249532486486771,0.39436294513465064,55.03900000000001,65.21275,27.519500000000004,78.10171781601542,174.5,173.75,174.4935528894979,173.74517158725055,0.6931102345954631,0.5658639340686613,3.0,85.75,1.5,137.00752716548095,1.91,2.0949999999999998,1.8738196284594737,2.0669563984002175,0.6742648385193726,0.4770635462750146,0.7399999999999998,1.325,0.3699999999999999,1.7528048950182673,Metal,462.095
Fe2In1Ti1,225,2.12691,138.451,0.255627,11.1057,12.45,3.96E-05,32.333333333333336,30.75,30.376008309881648,29.217386404123562,1.0343744984017107,1.038470518400565,27.0,7.5,11.897712198383164,35.98437160768547,72.84333333333333,68.59375,67.45438092446251,64.34335384966757,1.0194099002967834,1.0350286575352097,66.951,16.73775,29.85874078985173,80.32384434976329,162.66666666666666,161.0,162.40047238734354,160.77614667964758,1.0969542226798472,1.0490656285046627,20.0,39.0,9.428090415820632,188.313568284391,1.7166666666666668,1.745,1.7118430250284509,1.7406470790552602,1.0958481847536974,1.020408253552358,0.29000000000000004,0.53,0.12657891697365017,2.0563316853076015,Metal,438.967
Hg2La1,191,2.55934,47.2522,0.326221,9.46626,1.39155,8.12E-05,68.5,72.33333333333333,67.52777206453653,71.45263950832225,0.6789878379414105,0.5758340691903137,23.0,34.33333333333333,11.5,56.61664458835797,169.7485,180.02966666666669,166.922831751681,177.46594742065497,0.6765474686290033,0.5700962151335368,61.68700000000001,87.42633333333335,30.843500000000006,141.5168623172204,183.0,179.0,182.6061335223984,178.65243669309368,0.6909956774399306,0.6551970032698673,24.0,49.0,12.0,131.2288078129189,1.55,1.7,1.4832396974191326,1.6386425412012917,0.650390640876698,0.5213937471294331,0.8999999999999999,0.9666666666666666,0.44999999999999996,1.382831234179436,Metal,153.097
O8Sn4,62,2.32326,156.342,0.339683,33.8171,3.02075,4.65E-05,29.0,21.999999999999996,20.0,14.736125994561544,0.40118986218700575,0.5538582294924286,42.0,11.333333333333332,21.0,17.499206331208914,67.3545,50.23599999999999,43.58028556583814,31.20501008421539,0.36446134611062864,0.517011513414671,102.711,28.903999999999993,51.35549999999999,40.98229442088375,96.5,80.33333333333333,83.42661445845684,69.38785980258662,0.5609075921454967,0.6723329541051963,97.0,16.33333333333333,48.5,57.96646540122238,2.7,2.9466666666666663,2.596613178738797,2.8518345016799773,0.655103948177523,0.5290756217922568,1.48,1.6399999999999997,0.74,2.384580093480238,Non-Metal,421.858
Ho5S7,12,1.92405,79.9423,0.286891,35.1766,3.41049,4.19E-05,41.5,37.25,32.7414110874898,29.058140836823917,0.49021620954320966,0.5629487473060792,51.0,18.583333333333336,25.5,29.435546349420605,98.495,87.42250000000001,72.71626915622116,63.438598042512986,0.444200983086776,0.5191079296620287,132.87,50.01916666666668,66.435,71.22011843670924,157.0,145.5,141.02482051043356,130.36471966143344,0.593193783648321,0.6491666311504842,138.0,42.833333333333336,69.0,107.24957912375329,1.905,2.0175,1.7814039407164226,1.8948374439306968,0.6289876989571874,0.5667164467094978,1.35,0.9925,0.675,1.5898683121567017,Metal,296.938
Ca4Mg8,194,1.78738,26.4908,0.255484,35.6535,2.122,9.21E-05,16.0,14.666666666666666,15.491933384829668,14.227573217960249,0.6615632381579821,0.6890092384766585,8.0,1.333333333333334,4.0,10.413666234542205,32.191500000000005,29.562666666666665,31.210507685713797,28.714357110679995,0.6628302240093424,0.6885125636690999,15.773000000000003,2.8439999999999994,7.886500000000002,21.00047138095291,169.5,161.33333333333331,167.72000476985446,159.77638031792196,0.6826641914239047,0.673345339521102,49.0,32.0,24.5,116.30228812118108,1.155,1.2066666666666666,1.1445523142259597,1.1972390227461784,0.6841152519150404,0.5893699615931288,0.31000000000000005,0.54,0.15500000000000003,0.9347845859994816,Metal,336.047
Dy4Rh6Sn10,36,2.29263,94.8607,0.33353,60.0104,1.19701,4.45E-05,53.666666666666664,51.7,52.95522502989093,51.21032634065652,1.0850181830911971,1.0505434966822191,21.0,11.799999999999999,8.9566858950296,60.45146813767222,128.03866666666667,122.7268,125.6783458178956,121.10066688512931,1.0797006354232563,1.0503578288351951,59.593999999999994,28.483199999999997,25.207528311112842,143.50679948518118,182.0,170.0,178.83381890612577,167.37276913026128,1.0809401444249205,1.0786368910611925,83.0,26.9,34.477045503735766,197.3048909682677,1.82,1.908,1.760017217462421,1.865436438985341,1.0672859280008553,0.9729755360456054,1.0599999999999998,0.736,0.4439219150556397,2.2645653004495143,Metal,238.949
